order,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,1.794906781,0.815,0.151,0,1,Cd8b1
2,0,1.760970821,0.994,0.253,0,1,Cd3g
3,0,1.732805399,0.832,0.116,0,1,Cxcr6
4,0,1.686573982,0.807,0.133,0,1,Cd8a
5,0,1.487583932,0.994,0.265,0,1,Cd3d
6,0,1.429319661,0.763,0.119,0,1,Lag3
7,0,1.425005354,0.776,0.077,0,1,Pdcd1
8,0,1.377609701,0.95,0.192,0,1,Cd3e
9,0,0.943561314,0.457,0.044,0,1,Gzmk
10,0,0.858472425,0.466,0.039,0,1,Rgs16
11,0,0.856476667,0.601,0.071,0,1,Tox
12,0,0.814683559,0.638,0.095,0,1,BC021614
13,8.51E-297,1.141604599,0.861,0.207,1.19E-292,1,Sh2d2a
14,1.40E-294,1.253772353,0.973,0.282,1.95E-290,1,Thy1
15,1.91E-293,1.003324817,0.909,0.218,2.67E-289,1,Lat
16,2.42E-283,1.413944384,0.599,0.092,3.39E-279,1,Ifng
17,2.27E-270,0.390113002,0.345,0.028,3.17E-266,1,Sdcbp2
18,8.19E-264,0.846182302,0.782,0.168,1.15E-259,1,Gm8369
19,8.67E-256,0.754062906,0.778,0.169,1.21E-251,1,Zap70
20,8.84E-256,0.57010775,0.43,0.049,1.24E-251,1,Ctla4
21,2.79E-245,0.714624992,0.694,0.136,3.90E-241,1,Cd28
22,2.18E-242,0.748486909,0.815,0.189,3.05E-238,1,Cd247
23,3.52E-220,1.476945088,0.95,0.42,4.92E-216,1,Nkg7
24,4.16E-220,0.394974129,0.395,0.047,5.81E-216,1,Themis
25,1.02E-219,0.542113275,0.513,0.081,1.43E-215,1,Cd6
26,9.80E-217,1.076666124,0.981,0.408,1.37E-212,1,Ptprcap
27,1.41E-215,0.835848135,0.846,0.24,1.97E-211,1,Cd27
28,7.72E-212,0.89403322,0.973,0.33,1.08E-207,1,Lck
29,8.04E-207,0.981928166,0.96,0.345,1.12E-202,1,Cd2
30,8.37E-206,-2.350279394,0.389,0.892,1.17E-201,1,Fcer1g
31,3.17E-201,0.651462456,0.592,0.123,4.43E-197,1,Serpinb6a
32,5.69E-201,-2.294427821,0.329,0.872,7.95E-197,1,Tyrobp
33,2.17E-198,0.519526182,0.424,0.062,3.03E-194,1,Wdr95
34,4.72E-198,1.304840068,0.761,0.212,6.61E-194,1,Gzmb
35,3.64E-197,0.919907998,0.495,0.086,5.10E-193,1,Tnfrsf4
36,8.50E-194,0.453935434,0.478,0.079,1.19E-189,1,Cd5
37,7.16E-192,0.825049524,0.836,0.244,1.00E-187,1,Gimap7
38,2.16E-189,0.867307368,0.854,0.281,3.02E-185,1,Pglyrp1
39,3.66E-181,0.485445147,0.489,0.089,5.12E-177,1,Ikzf3
40,1.13E-180,0.844690827,0.788,0.247,1.59E-176,1,Cst7
41,1.67E-180,0.745391984,0.931,0.32,2.34E-176,1,Gimap1
42,1.18E-177,0.713935629,0.763,0.21,1.65E-173,1,Sh2d1a
43,2.41E-175,0.430058559,0.443,0.075,3.37E-171,1,Abcb9
44,2.81E-174,0.720705066,0.846,0.259,3.93E-170,1,Il2rb
45,1.77E-173,0.803726064,0.393,0.061,2.48E-169,1,Nrgn
46,1.61E-172,0.631004664,0.25,0.024,2.25E-168,1,Serpine2
47,2.90E-168,0.804339706,0.952,0.352,4.06E-164,1,Ltb
48,1.31E-166,0.353298002,0.32,0.041,1.83E-162,1,Zbtb32
49,1.50E-164,-1.647028703,0.994,0.998,2.10E-160,1,Ftl1
50,3.45E-163,0.355484431,0.385,0.062,4.82E-159,1,Atxn1
51,3.56E-163,0.785577032,0.584,0.139,4.98E-159,1,Klrc1
52,3.11E-157,0.380417962,0.324,0.046,4.35E-153,1,2310031A07Rik
53,9.31E-157,0.743611286,1,0.924,1.30E-152,1,Rac2
54,2.62E-152,0.382164966,0.412,0.073,3.67E-148,1,Cers4
55,3.25E-152,0.919653665,0.622,0.168,4.55E-148,1,Tnfrsf9
56,3.20E-151,1.019802278,0.956,0.482,4.48E-147,1,Ms4a4b
57,1.91E-149,0.579486598,0.694,0.203,2.67E-145,1,Grap
