"gene","cluster_1","cluster_2","cluster_3","cluster_4"
"mrpl15",0.593914355770106,0.435203039161469,0.281493949089094,0.486350382637693
"lypla1",0.345766594590143,0.157963045374082,0.172487672452934,0.25033963497107
"tcea1",0.382104417475208,0.256605718638632,0.299820532499029,0.358784281717687
"atp6v1h",0.175760845329009,0.158200207615475,0.124337737076473,0.422789130534686
"rb1cc1",0.133874358065417,0.159266135681427,0.146272750742211,0.157628655816021
"x4732440d04rik",0.0382341442644534,0.0396312856877674,0.0356958893229243,0.0209913738493004
"pcmtd1",0.191018665923204,0.245367864262325,0.15907969174102,0.209273243040488
"rrs1",0.251666487178686,0.182753531131262,0.0703679942299675,0.159051861046105
"adhfe1",0,0.000684011371819561,0.00153175193502339,0.00217574433912049
"mybl1",0,0.00184551913296467,0.000372070074757978,0
"vcpip1",0.093295974542285,0.100262288254309,0.0715943519443853,0.149851721875201
"x1700034p13rik",0,0,0.0016605420823284,0
"sgk3",0.031374064686812,0.0389407804132982,0.121731811993462,0.239855330052893
"mcmdc2",0,0.0015725940593264,0.00229644632616698,0.00362731566487475
"snhg6",0.487186934741605,0.266429803844513,0.302616434771445,0.339381042773642
"cops5",0.425669578791313,0.347977242611308,0.293334801157596,0.423146666606352
"cspp1",0.0904607304165882,0.110313824249051,0.0819773519772123,0.147618858900948
"arfgef1",0.141969593165092,0.170620550014879,0.200203065071487,0.117385689678646
"slco5a1",0,0.000292284470598637,0.207468631898815,0
"ncoa2",0.117767543158249,0.0944499202826289,0.214344838081981,0.0692282180788748
"tram1",0.736554469119108,0.505161174198661,0.171484578833533,1.23951404612996
"lactb2",0.132263352090125,0.0796414706649321,0.0564684850206818,0.121484251109293
"eya1",0,0.0594343896355235,0.00152378677614883,0.0599963494029447
"terf1",0.122692985219512,0.139408033594541,0.0563657490386473,0.123219018064635
"rpl7",3.43674551040552,3.36535825341395,2.95084078374616,3.17031731835407
"rdh10",0.016423075683131,0.0121760754473217,0.00192107540767959,0.0137312854305956
"stau2",0.00282942351020447,0.0029895528339529,0.00548031356491272,0.0326613109616596
"ube2w",0.150190300664778,0.151858644778811,0.223779636945666,0.309765151539995
"tceb1",1.07881468599501,0.753950255464438,1.18318644879131,0.781627979239387
"tmem70",0.259650762663232,0.165488294017198,0.239033732275226,0.253219587097151
"ly96",0.0365630422610203,0.0422820379304034,0.255520056517876,0.108482568508886
"mcm3",0.299943724852311,0.135867620563937,0.0885122594291248,0.0751720803720032
"paqr8",0.00327033891597119,0.00318299744827017,0.0146874327231717,0.00475729860400834
"tram2",0.021499354431846,0.010659873392247,0.00808704456494529,0.034222861050562
"tmem14a",0.0307324940733821,0.0392747017719232,0.00867159224649548,0.00624120184696902
"gm28836",0.00326240205388783,0.0247499699376555,0.00602543254131529,0
"khdc1a",0.0107632098341093,0.38654699325354,0.010472551561872,0.00633083726124947
"khdc1c",0.00561595933319732,0.174216753117175,0,0
"khdc1b",0,0.0364076849926816,0,0.00232443022537601
"kcnq5",0.0122230696798193,0.024582947614423,0,0.000887184606258925
"ogfrl1",0.0376118540354947,0.0446258086457933,1.29693429052043,0.3243086002187
"b3gat2",0,0,0,0
"smap1",0.496917026627547,0.377241376986093,0.298877346473768,0.267581783587893
"sdhaf4",0.258317256587816,0.233209514492978,0.129375457667463,0.318506521298402
"fam135a",0.000878839383077444,0.0020552852074123,0,0.00406015187631016
"lmbrd1",0.145145691683854,0.149156610670709,0.089263670396096,0.150970401659194
"phf3",0.311638632674427,0.337963087003716,0.257492976925044,0.322151054883803
"ptp4a1",0.245652754559037,0.17799573497131,0.210722334919443,0.245790535404428
"prim2",0.0558020733288146,0.0538574357251407,0.0201040759391793,0.0359139483473733
"rab23",0.0242551978502843,0.009083432885857,0.0159888398064714,0.0119154484929613
"bag2",0.0262052353994406,0.00925445088533414,0.0133963962504856,0.0387204341172927
"zfp451",0.068646717530098,0.0659471612404497,0.091393684192818,0.0646734688888188
"bend6",0.00851120960366873,0.0123333114204433,0,0
"dst",0.00535571910854849,0.00327755961908929,0.0110814327687077,0.0870490409892026
"gm37233",0,0.000478166960748134,0.00651547142206079,0
"ccdc115",0.254826876722844,0.284911090447584,0.139406055260357,0.300216383121203
